episode,reward
0,0.093
0,0.057
0,0.08
100,-0.7745
100,-0.799
100,-0.836
200,-0.284
200,-0.2335
200,-0.1395
300,-0.205
300,-0.213
300,-0.214
400,0.3125
400,0.301
400,0.5165
500,1.096
500,1.1315
500,1.1715
600,1.132
600,1.153
600,1.161
700,1.221
700,1.158
700,0.923
800,0.521
800,0.658
800,0.7595
900,-0.931
900,-0.425
900,-0.7355
1000,-0.4385
1000,-0.428
1000,-0.5745
1100,-0.041
1100,0.1
1100,0.4265
1200,0.283
1200,0.444
1200,0.326
1300,0.0155
1300,0.0855
1300,-0.139
1400,-0.0315
1400,-0.0295
1400,-0.107
1500,0.345
1500,0.4585
1500,0.185
1600,0.2345
1600,-0.123
1600,0.1915
1700,0.2745
1700,0.2375
1700,0.4035
1800,0.128
1800,-0.0035
1800,-0.0725
1900,0.436
1900,0.336
1900,0.181
2000,-0.0705
2000,0.413
2000,-0.099
2100,0.3275
2100,0.645
2100,0.1085
2200,0.431
2200,-0.043
2200,0.227
2300,0.1525
2300,0.06
2300,0.349
2400,0.2235
2400,0.1315
2400,0.199
2500,-0.075
2500,-0.1155
2500,-0.187
2600,0.0825
2600,0.107
2600,0.0585
2700,0.03
2700,0.17
2700,0.2165
2800,-0.0125
2800,0.1375
2800,-0.058
2900,0.0935
2900,0.351
2900,0.633
3000,0.358
3000,0.381
3000,0.3425
3100,0.1785
3100,0.21
3100,0.066
3200,0.284
3200,0.3615
3200,0.238
3300,0.4175
3300,0.3835
3300,0.514
3400,-0.0315
3400,-0.183
3400,-0.1095
3500,-0.0435
3500,-0.0495
3500,-0.054
3600,0.1595
3600,0.0745
3600,-0.014
3700,0.335
3700,0.286
3700,0.272
3800,0.0675
3800,0.081
3800,0.226
3900,0.3205
3900,0.2915
3900,0.418
4000,0.3135
4000,0.3095
4000,0.2835
4100,0.4935
4100,0.543
4100,0.6315
4200,0.922
4200,0.758
4200,0.8125
4300,0.743
4300,0.688
4300,0.7855
4400,0.2995
4400,0.1105
4400,0.2325
4500,0.1835
4500,0.2925
4500,0.3605
4600,0.338
4600,0.283
4600,0.3445
4700,0.6305
4700,0.471
4700,0.596
4800,0.562
4800,0.5435
4800,0.481
4900,0.4095
4900,0.2455
4900,0.236
